MODEL SOLUTION,MUTATION,INPUT 1,INPUT 2,EXPECTED RESULT,ACTUAL RESULT
ADD,mutant11,1,2,3,0
ADD,mutant9,1,2,3,0
ADD,mutant8,1,2,3,-3
ADD,mutant7,1,2,3,1
ADD,mutant13,1,2,3,-1
ADD,mutant15,1,2,3,0
ADD,mutant21,1,2,3,268435455
ADD,mutant16,1,2,3,0
ADD,mutant12,1,2,3,6
ADD,mutant19,1,2,3,1
ADD,mutant10,1,2,3,2
ADD,mutant14,1,2,3,4
ADD,mutant18,1,2,3,-4
ADD,mutant20,1,2,3,10
ADD,mutant5,1,2,3,-1
ADD,mutant17,1,2,3,-2
ADD,mutant3,1,2,3,-1
ADD,mutant1,1,2,3,-1
ADD,mutant2,1,2,3,-1
ADD,mutant6,2,6,8,10
ADD,mutant4,2,6,8,0
ADD,mutant11,2,6,8,0
ADD,mutant9,2,6,8,0
ADD,mutant8,2,6,8,-8
ADD,mutant7,2,6,8,6
ADD,mutant13,2,6,8,-1
ADD,mutant15,2,6,8,0
ADD,mutant21,2,6,8,8388607
ADD,mutant16,2,6,8,2
ADD,mutant12,2,6,8,16
ADD,mutant19,2,6,8,2
ADD,mutant10,2,6,8,12
ADD,mutant14,2,6,8,144
ADD,mutant18,2,6,8,-5
ADD,mutant20,2,6,8,392
ADD,mutant5,2,6,8,-1
ADD,mutant17,2,6,8,-4
ADD,mutant3,2,6,8,-1
ADD,mutant1,2,6,8,-1
ADD,mutant2,2,6,8,-1
ADD,mutant6,1,5,6,8
ADD,mutant4,1,5,6,0
ADD,mutant11,1,5,6,0
ADD,mutant9,1,5,6,0
ADD,mutant8,1,5,6,-6
ADD,mutant7,1,5,6,4
ADD,mutant13,1,5,6,-1
ADD,mutant15,1,5,6,0
ADD,mutant21,1,5,6,33554431
ADD,mutant16,1,5,6,1
ADD,mutant12,1,5,6,12
ADD,mutant19,1,5,6,1
ADD,mutant10,1,5,6,5
ADD,mutant14,1,5,6,25
ADD,mutant18,1,5,6,-5
ADD,mutant20,1,5,6,162
ADD,mutant5,1,5,6,-1
ADD,mutant17,1,5,6,-4
ADD,mutant3,1,5,6,-1
ADD,mutant1,1,5,6,-1
ADD,mutant2,1,5,6,-1
ADD,mutant6,6,1,7,9
ADD,mutant4,6,1,7,0
ADD,mutant11,6,1,7,6
ADD,mutant9,6,1,7,0
ADD,mutant8,6,1,7,-7
ADD,mutant7,6,1,7,5
ADD,mutant13,6,1,7,-1
ADD,mutant15,6,1,7,6
ADD,mutant21,6,1,7,16777215
ADD,mutant16,6,1,7,0
ADD,mutant12,6,1,7,14
ADD,mutant19,6,1,7,0
ADD,mutant10,6,1,7,6
ADD,mutant14,6,1,7,36
ADD,mutant18,6,1,7,-8
ADD,mutant20,6,1,7,386
ADD,mutant5,6,1,7,-1
ADD,mutant17,6,1,7,-1
ADD,mutant3,6,1,7,-1
ADD,mutant1,6,1,7,-1
ADD,mutant2,6,1,7,-1
ADD,mutant6,4,7,11,13
ADD,mutant4,4,7,11,0
ADD,mutant11,4,7,11,0
ADD,mutant9,4,7,11,0
ADD,mutant8,4,7,11,-11
ADD,mutant7,4,7,11,9
ADD,mutant13,4,7,11,-1
ADD,mutant15,4,7,11,0
ADD,mutant21,4,7,11,1048575
ADD,mutant16,4,7,11,4
ADD,mutant12,4,7,11,22
ADD,mutant19,4,7,11,4
ADD,mutant10,4,7,11,28
ADD,mutant14,4,7,11,784
ADD,mutant18,4,7,11,-4
ADD,mutant20,4,7,11,960
ADD,mutant5,4,7,11,-1
ADD,mutant17,4,7,11,-3
ADD,mutant3,4,7,11,-1
ADD,mutant1,4,7,11,-1
ADD,mutant2,4,7,11,-1
ADD,mutant6,0,6,6,8
ADD,mutant4,0,6,6,-1
ADD,mutant11,0,6,6,0
ADD,mutant9,0,6,6,0
ADD,mutant8,0,6,6,-6
ADD,mutant7,0,6,6,4
ADD,mutant13,0,6,6,-1
ADD,mutant15,0,6,6,0
ADD,mutant21,0,6,6,16777215
ADD,mutant16,0,6,6,0
ADD,mutant12,0,6,6,12
ADD,mutant19,0,6,6,0
ADD,mutant10,0,6,6,0
ADD,mutant14,0,6,6,0
ADD,mutant18,0,6,6,-7
ADD,mutant20,0,6,6,385
ADD,mutant5,0,6,6,-1
ADD,mutant17,0,6,6,-6
